step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/flat_orientation_l2,Episode_Reward/action_rate_l1,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/energy,Episode_Reward/dof_pos_limits,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_contact_number,Episode_Reward/feet_slide,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/terrain_levels,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/base_height,Episode_Termination/bad_orientation,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
6,0.000041,0.001383,0.001748,-0.005741,-0.009290,-0.003510,-0.248483,-0.063949,-0.001861,-0.001855,-0.000160,-0.000157,-0.001456,-0.003449,0.001545,-0.000280,0.004099,-0.009257,0.000000,0.984375,0.100000,0.100000,0.047801,0.028357,0.006510,0.000000,0.039062,0.554648,-0.020350,17.030619,0.000010,1.000316,221.000000,6.128559,0.793329,-2.261093,20.000000,-2.261093,20.000000
1,0.005613,0.007189,0.009181,-0.037063,-0.027510,-0.017130,-0.003510,-0.012358,-0.004043,-0.011496,-0.000244,-0.000236,-0.008195,-0.011732,0.006405,-0.001591,0.024245,-0.030420,-0.000050,0.670573,0.100000,0.100000,0.121937,0.126210,0.030599,0.000000,0.680339,0.257909,-0.042988,17.031059,0.000010,1.000347,341.000000,4.065217,0.436561,-2.108518,28.190475,-2.108518,28.190475
2,0.009619,0.006699,0.009712,-0.020831,-0.025199,-0.017985,-0.003746,-0.013012,-0.004378,-0.011266,-0.000263,-0.000823,-0.009121,-0.012460,0.006898,-0.001403,0.028021,-0.042393,-0.000020,0.417318,0.100000,0.100000,0.125692,0.142977,0.002604,0.000000,0.947917,0.279971,-0.039186,17.029106,0.000010,1.000081,327.000000,4.272251,0.416272,-2.237991,32.560001,-2.237991,32.560001
3,0.007575,0.007442,0.009555,-0.024253,-0.025187,-0.017753,-0.003104,-0.013344,-0.004420,-0.009658,-0.000263,-0.000556,-0.008839,-0.012383,0.006812,-0.001592,0.027086,-0.046518,-0.000100,0.234375,0.100000,0.100000,0.130267,0.130348,0.000000,0.000000,0.986328,0.276479,-0.042155,17.035032,0.000010,1.000938,339.000000,4.097544,0.420131,-2.339737,33.270000,-2.339737,33.270000
4,0.006387,0.007123,0.008907,-0.018462,-0.022843,-0.016739,-0.003062,-0.012336,-0.004060,-0.009217,-0.000246,-0.000578,-0.007810,-0.010754,0.005925,-0.001502,0.025540,-0.027081,-0.000067,0.143880,0.100000,0.100000,0.118456,0.118858,0.000000,0.000000,1.000000,0.266295,-0.034776,17.047924,0.000010,1.002099,338.000000,4.070524,0.469181,-2.116536,32.259998,-2.116536,32.259998
5,0.005862,0.006957,0.009435,-0.025242,-0.026599,-0.017713,-0.003154,-0.012206,-0.004345,-0.010883,-0.000255,-0.000508,-0.009095,-0.011477,0.006895,-0.001590,0.025396,-0.041948,-0.000122,0.080078,0.100000,0.100000,0.131839,0.133739,0.000000,0.000000,1.000000,0.196904,-0.042130,17.056932,0.000010,1.002685,353.000000,3.941208,0.405264,-2.114266,31.780001,-2.114266,31.780001
6,0.011364,0.007604,0.010244,-0.015684,-0.025595,-0.019073,-0.004184,-0.013837,-0.004711,-0.009363,-0.000277,-0.000569,-0.009124,-0.011825,0.007746,-0.001712,0.030530,-0.045889,-0.000253,0.078125,0.100000,0.100000,0.125710,0.144387,0.000000,0.000000,1.000000,0.268694,-0.038714,17.066427,0.000010,1.003570,332.000000,4.167793,0.453653,-2.081761,33.549999,-2.081761,33.549999
7,0.007883,0.006779,0.009186,-0.024468,-0.025116,-0.017437,-0.002951,-0.013248,-0.004441,-0.009766,-0.000254,-0.000407,-0.008331,-0.010421,0.007237,-0.001462,0.024934,-0.044447,-0.000239,0.075521,0.100000,0.100000,0.128581,0.137361,0.000000,0.000000,1.000000,0.266416,-0.036411,17.074299,0.000010,1.004069,342.000000,4.080680,0.403085,-1.969389,33.160000,-1.969389,33.160000
8,0.008919,0.007118,0.010051,-0.038132,-0.024325,-0.018767,-0.002921,-0.012537,-0.004561,-0.016751,-0.000277,-0.000647,-0.010132,-0.011323,0.007918,-0.001773,0.024536,-0.043958,-0.000103,0.035156,0.100000,0.100000,0.135788,0.148208,0.000000,0.000000,1.000000,0.175904,-0.045759,17.074818,0.000010,1.003930,396.000000,3.463088,0.410037,-2.194341,32.130001,-2.194341,32.130001
9,0.005432,0.007428,0.009481,-0.024801,-0.025387,-0.017892,-0.003558,-0.013188,-0.004600,-0.011754,-0.000264,-0.000487,-0.008933,-0.010393,0.006434,-0.001551,0.024853,-0.038553,-0.000058,0.011068,0.100000,0.100000,0.133821,0.130607,0.000000,0.000000,1.000000,0.168725,-0.047942,17.074833,0.000010,1.004025,340.000000,4.061308,0.456137,-2.098311,32.480000,-2.098311,32.480000
10,0.008450,0.008090,0.009910,-0.022828,-0.025721,-0.018906,-0.003390,-0.013245,-0.004619,-0.015384,-0.000282,-0.000835,-0.009112,-0.011537,0.007853,-0.001406,0.026385,-0.045720,-0.000087,0.000000,0.100000,0.100000,0.132711,0.128723,0.000000,0.000000,1.000000,0.200056,-0.047363,17.078819,0.000010,1.004475,309.000000,4.564548,0.402837,-1.928951,31.600000,-1.928951,31.600000
11,0.008158,0.007510,0.010128,-0.014826,-0.025118,-0.019273,-0.003086,-0.013445,-0.004995,-0.012838,-0.000285,-0.000446,-0.009438,-0.012704,0.007348,-0.001500,0.029981,-0.052450,-0.000275,0.000000,0.100000,0.100000,0.137940,0.149365,0.000000,0.000000,1.000000,0.204913,-0.050141,17.085993,0.000010,1.005110,392.000000,3.474201,0.438689,-2.126137,32.130001,-2.126137,32.130001
12,0.005626,0.006739,0.008894,-0.015366,-0.023857,-0.016885,-0.002689,-0.012535,-0.004133,-0.010269,-0.000243,-0.000591,-0.008089,-0.010319,0.005564,-0.001332,0.025840,-0.043607,-0.000028,0.000000,0.100000,0.100000,0.130450,0.128570,0.000000,0.000000,1.000000,0.176034,-0.051110,17.087132,0.000010,1.004990,325.000000,4.126289,0.597789,-2.102485,31.670000,-2.102485,31.670000
13,0.005696,0.007358,0.009418,-0.027035,-0.024188,-0.018051,-0.003045,-0.012515,-0.004535,-0.011755,-0.000264,-0.000780,-0.008655,-0.011152,0.007320,-0.001566,0.024024,-0.030795,-0.000100,0.000000,0.100000,0.100000,0.130309,0.131758,0.000000,0.000000,1.000000,0.160276,-0.048016,17.078499,0.000010,1.003963,322.000000,4.310243,0.446905,-2.007584,31.559999,-2.007584,31.559999
14,0.004869,0.006246,0.008181,-0.024593,-0.021563,-0.015777,-0.003072,-0.012920,-0.004030,-0.008590,-0.000233,-0.000522,-0.007304,-0.010006,0.006182,-0.001322,0.020095,-0.038574,-0.000033,0.000000,0.100000,0.100000,0.118780,0.112282,0.000000,0.000000,1.000000,0.146222,-0.043459,17.072659,0.000010,1.003767,239.000000,5.944738,0.457218,-2.021558,31.610001,-2.021558,31.610001
15,0.010620,0.007314,0.009275,-0.023762,-0.022167,-0.017910,-0.003556,-0.013354,-0.004596,-0.009095,-0.000265,-0.000773,-0.008681,-0.010855,0.006604,-0.001480,0.024461,-0.035276,-0.000063,0.000000,0.100000,0.100000,0.122492,0.129492,0.000000,0.000000,1.000000,0.151091,-0.044980,17.075886,0.000010,1.004216,305.000000,4.466205,0.554980,-1.780993,32.049999,-1.780993,32.049999
16,0.004997,0.005893,0.008867,-0.021439,-0.025138,-0.017265,-0.002554,-0.012511,-0.004558,-0.010206,-0.000252,-0.000374,-0.008471,-0.011222,0.006014,-0.001346,0.023577,-0.035183,-0.000074,0.000000,0.100000,0.100000,0.127932,0.136603,0.000000,0.000000,1.000000,0.130928,-0.048857,17.074514,0.000010,1.003856,451.000000,3.019838,0.385326,-1.846226,31.459999,-1.846226,31.459999
17,0.005500,0.006407,0.008634,-0.014882,-0.025160,-0.016745,-0.003641,-0.012639,-0.004458,-0.009994,-0.000255,-0.000788,-0.008550,-0.010917,0.006171,-0.001367,0.025082,-0.040269,-0.000117,0.000000,0.100000,0.100000,0.126236,0.123134,0.000000,0.000000,1.000000,0.100813,-0.047987,17.070377,0.000010,1.003535,436.000000,3.075866,0.445947,-1.991470,30.459999,-1.991470,30.459999
18,0.010622,0.007464,0.009925,-0.012609,-0.025169,-0.019259,-0.003420,-0.013053,-0.004832,-0.011955,-0.000279,-0.000540,-0.009094,-0.011537,0.007291,-0.001537,0.029711,-0.035990,-0.000050,0.000000,0.100000,0.100000,0.128743,0.142828,0.000000,0.000000,1.000000,0.121722,-0.049915,17.063984,0.000010,1.002894,340.000000,4.087957,0.418319,-1.860571,31.410000,-1.860571,31.410000
19,0.010623,0.006718,0.009510,-0.019650,-0.023687,-0.018844,-0.003453,-0.013227,-0.004605,-0.012429,-0.000282,-0.000568,-0.008349,-0.011194,0.007296,-0.001513,0.025978,-0.037724,-0.000158,0.000000,0.100000,0.100000,0.119526,0.143999,0.000000,0.000000,1.000000,0.118311,-0.041528,17.064577,0.000010,1.003279,322.000000,4.299942,0.457505,-1.804310,32.110001,-1.804310,32.110001
20,0.003562,0.006409,0.008438,-0.021857,-0.022210,-0.016257,-0.002473,-0.012461,-0.004054,-0.011657,-0.000242,-0.000495,-0.008071,-0.009453,0.006670,-0.001412,0.022040,-0.035072,-0.000122,0.000000,0.100000,0.100000,0.133097,0.117162,0.000000,0.000000,1.000000,0.099218,-0.044282,17.070805,0.000010,1.003829,353.000000,3.911972,0.437551,-1.867819,30.920000,-1.867819,30.920000
21,0.006227,0.006231,0.009174,-0.020587,-0.025663,-0.017753,-0.003016,-0.012109,-0.004633,-0.013101,-0.000268,-0.000499,-0.008642,-0.011415,0.006515,-0.001406,0.024737,-0.047685,-0.000133,0.000000,0.100000,0.100000,0.124437,0.142703,0.000000,0.000000,1.000000,0.129216,-0.039246,17.075335,0.000010,1.004152,334.000000,4.110706,0.484742,-2.047306,31.270000,-2.047306,31.270000
22,0.007265,0.007467,0.009172,-0.021345,-0.024390,-0.017542,-0.003095,-0.013039,-0.004382,-0.012551,-0.000255,-0.000552,-0.008556,-0.011088,0.006631,-0.001395,0.024688,-0.050394,-0.000133,0.000000,0.100000,0.100000,0.125185,0.126222,0.000000,0.000000,1.000000,0.098748,-0.046043,17.079969,0.000010,1.004573,361.000000,3.850803,0.402764,-2.098554,32.349998,-2.098554,32.349998
23,0.007207,0.006672,0.008683,-0.025078,-0.021155,-0.016987,-0.002832,-0.013082,-0.004383,-0.008966,-0.000246,-0.000642,-0.007656,-0.009766,0.006233,-0.001289,0.021751,-0.027694,-0.000108,0.000000,0.100000,0.100000,0.122074,0.123370,0.000000,0.000000,1.000000,0.108750,-0.045164,17.089859,0.000010,1.005563,372.000000,3.743700,0.383739,-1.944799,31.410000,-1.944799,31.410000
24,0.008449,0.006287,0.009279,-0.016807,-0.023325,-0.018150,-0.003152,-0.012960,-0.004672,-0.010421,-0.000275,-0.000546,-0.008475,-0.010429,0.006236,-0.001587,0.026400,-0.034720,-0.000203,0.000000,0.100000,0.100000,0.120699,0.141445,0.000000,0.000000,1.000000,0.103428,-0.050642,17.100597,0.000010,1.006444,352.000000,3.929955,0.430596,-1.855076,31.379999,-1.855076,31.379999
25,0.006363,0.007330,0.008929,-0.020919,-0.022324,-0.017549,-0.003321,-0.012470,-0.004619,-0.012385,-0.000273,-0.000581,-0.008278,-0.010453,0.006809,-0.001594,0.023572,-0.033295,-0.000108,0.000000,0.100000,0.100000,0.121793,0.118387,0.000000,0.000000,1.000000,0.126641,-0.046967,17.106565,0.000010,1.006793,355.000000,3.940743,0.378708,-1.888752,31.770000,-1.888752,31.770000
26,0.007091,0.006841,0.009341,-0.021951,-0.025133,-0.018127,-0.003053,-0.012088,-0.004734,-0.011927,-0.000270,-0.000511,-0.008579,-0.010462,0.006299,-0.001444,0.025469,-0.031552,-0.000106,0.000000,0.100000,0.100000,0.124167,0.135060,0.000000,0.000000,1.000000,0.149745,-0.041810,17.111328,0.000010,1.007197,358.000000,3.894753,0.392345,-1.924543,31.719999,-1.924543,31.719999
27,0.007641,0.006991,0.008766,-0.025037,-0.021975,-0.017222,-0.002835,-0.012747,-0.004553,-0.011285,-0.000260,-0.000540,-0.008340,-0.009730,0.006205,-0.001395,0.022532,-0.044229,-0.000171,0.000000,0.100000,0.100000,0.120963,0.119013,0.000000,0.000000,1.000000,0.184466,-0.043697,17.113831,0.000010,1.007312,270.000000,5.230559,0.448686,-2.073932,30.700001,-2.073932,30.700001
28,0.010563,0.007080,0.009871,-0.018411,-0.025642,-0.019316,-0.003307,-0.012634,-0.005140,-0.011571,-0.000296,-0.000853,-0.009077,-0.011148,0.006847,-0.001599,0.027626,-0.035533,-0.000186,0.000000,0.100000,0.100000,0.125972,0.145081,0.000000,0.000000,1.000000,0.118104,-0.045773,17.115601,0.000010,1.007494,301.000000,4.678698,0.419105,-2.094444,31.650000,-2.094444,31.650000
29,0.004251,0.006054,0.008310,-0.019238,-0.021860,-0.016221,-0.002634,-0.012666,-0.004419,-0.007335,-0.000259,-0.000424,-0.008230,-0.008904,0.005580,-0.001287,0.022358,-0.031542,0.000000,0.000000,0.100000,0.100000,0.124898,0.121730,0.000000,0.000000,1.000000,0.111834,-0.048258,17.115223,0.000010,1.007335,345.000000,4.033839,0.416612,-1.773556,30.910000,-1.773556,30.910000
30,0.007618,0.006441,0.009108,-0.024525,-0.023583,-0.017947,-0.002816,-0.012696,-0.004786,-0.011383,-0.000271,-0.000429,-0.008406,-0.010322,0.007139,-0.001450,0.023752,-0.035225,-0.000122,0.000000,0.100000,0.100000,0.124836,0.134402,0.000000,0.000000,1.000000,0.128325,-0.043023,17.112120,0.000010,1.007079,341.000000,4.053789,0.440627,-1.887474,30.100000,-1.887474,30.100000
31,0.006525,0.007092,0.008863,-0.027227,-0.022990,-0.017531,-0.003275,-0.013027,-0.004841,-0.011878,-0.000268,-0.000599,-0.007890,-0.009956,0.005495,-0.001611,0.022121,-0.041158,-0.000094,0.000000,0.100000,0.100000,0.120891,0.117536,0.000000,0.000000,1.000000,0.119806,-0.046283,17.114052,0.000010,1.007403,350.000000,3.992220,0.391503,-1.965917,30.730000,-1.965917,30.730000
32,0.010748,0.007278,0.009918,-0.015615,-0.022857,-0.019527,-0.003454,-0.013278,-0.005377,-0.011262,-0.000297,-0.000591,-0.008812,-0.011102,0.007617,-0.001632,0.028756,-0.050777,-0.000050,0.000000,0.100000,0.100000,0.127922,0.136955,0.000000,0.000000,1.000000,0.108208,-0.043432,17.113197,0.000010,1.007144,328.000000,4.257426,0.412555,-1.804681,31.110001,-1.804681,31.110001
