step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/flat_orientation_l2,Episode_Reward/action_rate_l1,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/energy,Episode_Reward/dof_pos_limits,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_contact_number,Episode_Reward/feet_slide,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/terrain_levels,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/base_height,Episode_Termination/bad_orientation,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
9,0.000764,0.003133,0.003639,-0.011616,-0.006683,-0.006581,-0.001251,-0.006378,-0.001588,-0.003025,-0.000094,-0.000098,-0.002554,-0.003735,0.002605,-0.000594,0.010085,-0.014505,-0.000007,0.978689,0.100000,0.100000,0.053569,0.042603,0.009460,0.000000,0.024872,0.472652,0.003153,17.028418,0.010000,0.999909,43467.000000,7.782235,1.263956,-2.392563,24.000000,-2.392563,24.000000
1,0.006777,0.007034,0.009721,-0.035558,-0.025445,-0.017988,-0.003082,-0.012338,-0.004378,-0.011452,-0.000259,-0.000550,-0.009133,-0.011104,0.006905,-0.001513,0.026201,-0.038949,-0.000195,0.669627,0.100000,0.100000,0.131817,0.140831,0.017853,0.000000,0.669820,0.289604,0.000257,17.026932,0.010000,1.000406,58414.000000,6.124374,0.607048,-1.908226,31.580000,-1.908226,31.580000
2,0.006574,0.006994,0.009375,-0.029652,-0.024453,-0.017346,-0.002923,-0.012280,-0.004241,-0.010684,-0.000248,-0.000486,-0.008632,-0.010387,0.006748,-0.001478,0.025250,-0.038731,-0.000151,0.442434,0.100000,0.100000,0.131691,0.134043,0.006765,0.000000,0.968567,0.256366,0.000239,17.034615,0.010000,1.002001,60029.000000,5.940545,0.609867,-2.698688,32.650002,-2.698688,32.650002
3,0.007325,0.007060,0.009418,-0.026207,-0.024353,-0.017490,-0.002849,-0.012238,-0.004237,-0.010699,-0.000250,-0.000451,-0.008535,-0.010288,0.006823,-0.001484,0.025603,-0.037004,-0.000160,0.285004,0.100000,0.100000,0.130180,0.133616,0.001322,0.000000,0.996155,0.188627,0.000199,17.043682,0.010000,1.001558,52235.000000,6.404232,1.123546,-2.089394,33.759998,-2.089394,33.759998
4,0.007479,0.007151,0.009494,-0.025273,-0.024313,-0.017659,-0.002858,-0.012207,-0.004290,-0.010623,-0.000252,-0.000449,-0.008519,-0.010238,0.006863,-0.001502,0.025594,-0.038134,-0.000155,0.186076,0.100000,0.100000,0.130000,0.134558,0.000651,0.000000,0.999176,0.156839,0.000791,17.036322,0.010000,1.000473,32482.000000,10.873190,1.232372,-2.154322,31.469999,-2.154322,31.469999
5,0.007115,0.007021,0.009414,-0.022385,-0.024167,-0.017530,-0.002862,-0.011977,-0.004235,-0.011084,-0.000248,-0.000439,-0.008402,-0.010011,0.006775,-0.001477,0.025826,-0.038094,-0.000153,0.122172,0.100000,0.100000,0.129673,0.133801,0.000071,0.000000,0.999929,0.124930,0.001388,17.017998,0.010000,0.999838,68626.000000,5.139206,0.590562,-2.325932,33.060001,-2.325932,33.060001
6,0.007563,0.007125,0.009505,-0.023522,-0.024311,-0.017716,-0.002698,-0.011905,-0.004227,-0.010869,-0.000249,-0.000396,-0.008411,-0.010020,0.006944,-0.001477,0.025612,-0.037792,-0.000140,0.079885,0.100000,0.100000,0.128719,0.134166,0.000000,0.000000,1.000000,0.111175,0.000732,17.007288,0.010000,0.998184,60403.000000,5.884826,0.624984,-1.984906,31.920000,-1.984906,31.920000
7,0.007473,0.007047,0.009409,-0.020812,-0.023807,-0.017531,-0.002671,-0.011877,-0.004180,-0.010808,-0.000246,-0.000400,-0.008224,-0.009768,0.006853,-0.001464,0.025820,-0.036979,-0.000141,0.048798,0.100000,0.100000,0.127770,0.133111,0.000000,0.000000,1.000000,0.103582,-0.000971,16.978247,0.010000,0.996432,47273.000000,7.136925,1.180979,-2.048452,33.000000,-2.048452,33.000000
8,0.007711,0.007033,0.009421,-0.021904,-0.023757,-0.017571,-0.002705,-0.011777,-0.004159,-0.010849,-0.000245,-0.000381,-0.008180,-0.009656,0.006881,-0.001466,0.025544,-0.036078,-0.000149,0.030721,0.100000,0.100000,0.127223,0.133334,0.000000,0.000000,1.000000,0.086611,-0.001157,16.959450,0.010000,0.995367,33834.000000,10.217371,1.404351,-1.801430,33.290001,-1.801430,33.290001
9,0.007541,0.007247,0.009409,-0.020536,-0.023832,-0.017541,-0.002578,-0.011662,-0.004150,-0.010845,-0.000244,-0.000381,-0.008099,-0.009434,0.006877,-0.001474,0.025838,-0.035911,-0.000152,0.020487,0.100000,0.100000,0.127442,0.130015,0.000000,0.000000,1.000000,0.085385,-0.000156,16.943087,0.010000,0.994592,55398.000000,6.543015,0.554953,-1.927911,32.740002,-1.927911,32.740002
10,0.007935,0.007147,0.009428,-0.021424,-0.023818,-0.017588,-0.002605,-0.011640,-0.004129,-0.010754,-0.000243,-0.000381,-0.008050,-0.009437,0.006868,-0.001463,0.025635,-0.035488,-0.000153,0.014079,0.100000,0.100000,0.126352,0.131048,0.000000,0.000000,1.000000,0.082344,0.003082,16.940006,0.006667,0.995175,60769.000000,5.841574,0.629014,-1.600009,30.650000,-1.600009,30.650000
11,0.007540,0.007111,0.009368,-0.021176,-0.023435,-0.017495,-0.002520,-0.011498,-0.004096,-0.010548,-0.000241,-0.000366,-0.007942,-0.009282,0.006897,-0.001452,0.025470,-0.035726,-0.000143,0.009735,0.100000,0.100000,0.126406,0.130439,0.000000,0.000000,1.000000,0.079935,-0.000996,16.946316,0.006667,0.994427,52156.000000,6.582257,0.956963,-2.032301,33.619999,-2.032301,33.619999
12,0.007253,0.007032,0.009255,-0.020424,-0.023250,-0.017315,-0.002529,-0.011528,-0.004054,-0.010762,-0.000239,-0.000370,-0.007886,-0.009119,0.006843,-0.001459,0.025266,-0.035967,-0.000143,0.006215,0.100000,0.100000,0.125081,0.128767,0.000000,0.000000,1.000000,0.087589,-0.001331,16.928139,0.010000,0.993886,36298.000000,9.491413,1.341486,-1.735960,30.330000,-1.735960,30.330000
13,0.007640,0.007123,0.009235,-0.020369,-0.023023,-0.017270,-0.002583,-0.011572,-0.004026,-0.010571,-0.000237,-0.000346,-0.007791,-0.009026,0.006789,-0.001442,0.025239,-0.034865,-0.000130,0.003967,0.100000,0.100000,0.124051,0.127376,0.000000,0.000000,1.000000,0.086692,-0.002110,16.936548,0.010000,0.993803,40794.000000,8.992008,0.647031,-1.941109,31.440001,-1.941109,31.440001
14,0.007591,0.007080,0.009195,-0.020525,-0.022808,-0.017227,-0.002648,-0.011519,-0.003990,-0.010539,-0.000236,-0.000359,-0.007722,-0.008989,0.006781,-0.001430,0.025093,-0.034326,-0.000135,0.002594,0.100000,0.100000,0.122796,0.125893,0.000000,0.000000,1.000000,0.087270,-0.003398,16.925816,0.010000,0.992355,64826.000000,5.471437,0.594276,-1.934536,31.760000,-1.934536,31.760000
15,0.007566,0.007152,0.009196,-0.020615,-0.022860,-0.017254,-0.002448,-0.011484,-0.004027,-0.010364,-0.000236,-0.000337,-0.007693,-0.008859,0.006765,-0.001435,0.025060,-0.034355,-0.000125,0.001322,0.100000,0.100000,0.122432,0.125673,0.000000,0.000000,1.000000,0.080236,-0.000776,16.923393,0.006667,0.991751,57146.000000,6.220645,0.660181,-2.040660,32.779999,-2.040660,32.779999
16,0.007519,0.007143,0.009169,-0.019990,-0.022604,-0.017199,-0.002512,-0.011419,-0.003980,-0.010546,-0.000235,-0.000309,-0.007657,-0.008755,0.006704,-0.001419,0.025130,-0.032548,-0.000148,0.000529,0.100000,0.100000,0.122433,0.124212,0.000000,0.000000,1.000000,0.078624,-0.001220,16.909836,0.006667,0.991733,39162.000000,8.814373,1.226164,-1.903628,31.920000,-1.903628,31.920000
17,0.007500,0.007194,0.009093,-0.020821,-0.022063,-0.017107,-0.002372,-0.011504,-0.003951,-0.010342,-0.000232,-0.000322,-0.007540,-0.008519,0.006681,-0.001416,0.024662,-0.032615,-0.000126,0.000366,0.100000,0.100000,0.120980,0.121413,0.000000,0.000000,1.000000,0.080757,-0.002208,16.917553,0.006667,0.992807,38686.000000,9.155334,1.008723,-1.805355,29.990000,-1.805355,29.990000
18,0.008093,0.007256,0.009185,-0.020133,-0.022124,-0.017304,-0.002443,-0.011538,-0.003995,-0.010688,-0.000235,-0.000312,-0.007596,-0.008521,0.006863,-0.001401,0.025201,-0.034020,-0.000117,0.000244,0.100000,0.100000,0.120514,0.122782,0.000000,0.000000,1.000000,0.075930,-0.004533,16.930763,0.004444,0.993290,61922.000000,5.783354,0.566738,-1.562467,31.610001,-1.562467,31.610001
