step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Episode_Reward/feet_clearance,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
4,0.000000,0.000000,0.006143,-0.042839,-0.003613,-0.000178,-0.001674,-0.000034,-0.000063,-0.001147,0.000000,0.000004,-0.000905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.023618,0.062015,0.013845,0.006083,0.320688,-0.000836,17.141792,0.001500,1.014765,93822.000000,3.616554,0.574511,-3.994832,23.799999,-3.994832,23.799999
1,0.000000,0.000000,0.017779,-0.182460,-0.014160,-0.001878,-0.004934,-0.000187,-0.000187,-0.003803,0.000000,0.000030,-0.003408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.108666,0.184922,0.039317,0.214945,2.178418,0.004186,17.268612,0.010000,1.017705,156244.000000,2.312817,0.203861,-4.143532,47.939999,-4.143532,47.939999
2,0.000000,0.000000,0.027638,-0.197361,-0.014123,-0.002475,-0.007664,-0.000229,-0.000237,-0.004744,0.000000,0.000047,-0.005564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.130216,0.157058,0.038574,0.772858,1.022513,0.005973,17.289818,0.004444,1.024100,165699.000000,2.159343,0.213727,-4.112178,60.020000,-4.112178,60.020000
3,0.000000,0.000000,0.025258,-0.199619,-0.012299,-0.001674,-0.007067,-0.000196,-0.000206,-0.003918,0.000000,0.000044,-0.005214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.120531,0.122640,0.021322,0.949595,0.883905,0.014346,17.355185,0.001317,1.030284,170552.000000,2.093428,0.212112,-4.053610,50.660000,-4.053610,50.660000
4,0.000000,0.000000,0.026707,-0.200000,-0.012354,-0.001553,-0.007511,-0.000205,-0.000217,-0.004104,0.000000,0.000042,-0.005369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.120404,0.127497,0.007477,0.988007,0.547293,0.006643,17.421970,0.004444,1.038462,170768.000000,2.097799,0.204833,-4.090869,55.020000,-4.090869,55.020000
5,0.000000,0.000000,0.025808,-0.200000,-0.012215,-0.001547,-0.007304,-0.000206,-0.000212,-0.003964,0.000000,0.000044,-0.005235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.119840,0.123401,0.001984,0.997091,0.472956,0.007585,17.510777,0.006667,1.043905,173686.000000,2.066337,0.197602,-4.101759,52.450001,-4.101759,52.450001
6,0.000000,0.000000,0.025874,-0.200000,-0.012151,-0.001543,-0.007381,-0.000217,-0.000214,-0.004003,0.000000,0.000042,-0.005277,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.119704,0.123376,0.000336,0.999664,0.281788,0.003867,17.569891,0.010000,1.049662,174652.000000,2.060303,0.191111,-4.098242,51.720001,-4.098242,51.720001
7,0.000000,0.000000,0.025503,-0.200000,-0.012236,-0.001561,-0.007330,-0.000216,-0.000214,-0.003960,0.000000,0.000041,-0.005263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.120371,0.122100,0.000081,0.999919,0.247045,-0.002727,17.630920,0.010000,1.053668,170437.000000,2.118381,0.188711,-4.107075,51.380001,-4.107075,51.380001
8,0.000000,0.000000,0.026245,-0.200000,-0.012455,-0.001559,-0.007572,-0.000204,-0.000222,-0.004079,0.000000,0.000047,-0.005322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.120253,0.126026,0.000000,1.000000,0.137981,-0.000143,17.685720,0.010000,1.055199,169297.000000,2.124796,0.197844,-4.094879,56.880001,-4.094879,56.880001
9,0.000000,0.000000,0.026332,-0.200000,-0.012617,-0.001584,-0.007630,-0.000208,-0.000224,-0.004044,0.000000,0.000046,-0.005426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.121055,0.126595,0.000000,1.000000,0.146019,-0.001403,17.706755,0.010000,1.059234,170829.000000,2.100993,0.200811,-4.114254,53.299999,-4.114254,53.299999
10,0.000000,0.000000,0.026543,-0.200000,-0.012788,-0.001579,-0.007728,-0.000204,-0.000228,-0.004082,0.000000,0.000045,-0.005519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.121667,0.127343,0.000000,1.000000,0.110585,-0.001423,17.749174,0.010000,1.062278,172506.000000,2.086858,0.192569,-4.117053,56.619999,-4.117053,56.619999
11,0.000000,0.000000,0.026751,-0.200000,-0.012867,-0.001601,-0.007808,-0.000196,-0.000231,-0.004076,0.000000,0.000048,-0.005528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.122198,0.127207,0.000000,1.000000,0.078353,-0.002728,17.766245,0.010000,1.063299,174712.000000,2.058381,0.192263,-4.106222,55.740002,-4.106222,55.740002
12,0.000000,0.000000,0.027429,-0.200000,-0.013004,-0.001632,-0.008036,-0.000196,-0.000239,-0.004205,0.000000,0.000048,-0.005695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.123215,0.129908,0.000000,1.000000,0.058178,0.001491,17.792358,0.010000,1.065625,174778.000000,2.055953,0.193839,-4.118957,52.970001,-4.118957,52.970001
13,0.000000,0.000000,0.027692,-0.200000,-0.012900,-0.001596,-0.008129,-0.000196,-0.000242,-0.004265,0.000000,0.000050,-0.005779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.122837,0.132695,0.000000,1.000000,0.078888,0.016018,17.808687,0.000390,1.068448,175738.000000,2.040350,0.197153,-4.103262,56.520000,-4.103262,56.520000
14,0.000000,0.000000,0.027646,-0.200000,-0.012790,-0.001574,-0.008113,-0.000185,-0.000243,-0.004272,0.000000,0.000054,-0.005891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.122083,0.133166,0.000000,1.000000,0.047847,0.001008,17.844395,0.001975,1.072003,177177.000000,2.026553,0.192785,-4.110953,59.369999,-4.110953,59.369999
15,0.000000,0.000000,0.028413,-0.200000,-0.012862,-0.001550,-0.008367,-0.000191,-0.000252,-0.004438,0.000000,0.000057,-0.006080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.122377,0.136915,0.000000,1.000000,0.044789,0.001989,17.905891,0.001975,1.076675,172091.000000,2.084985,0.199937,-4.102137,59.349998,-4.102137,59.349998
16,0.000000,0.000000,0.028660,-0.200000,-0.012998,-0.001554,-0.008457,-0.000192,-0.000257,-0.004491,0.000000,0.000057,-0.006119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.123362,0.139122,0.000000,1.000000,0.038433,0.004808,17.950558,0.001317,1.083441,170734.000000,2.084224,0.218861,-4.098461,61.549999,-4.098461,61.549999
17,0.000000,0.000000,0.029010,-0.200000,-0.013216,-0.001565,-0.008614,-0.000190,-0.000263,-0.004505,0.000000,0.000057,-0.006247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.123300,0.142922,0.000000,1.000000,0.022797,-0.001700,18.014374,0.001975,1.085719,175566.000000,2.035874,0.203825,-4.111913,57.720001,-4.111913,57.720001
18,0.000000,0.000000,0.029353,-0.200000,-0.013245,-0.001591,-0.008760,-0.000180,-0.000268,-0.004540,0.000000,0.000060,-0.006379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.100000,0.124849,0.143485,0.000000,1.000000,0.015960,-0.004643,18.025074,0.002963,1.086844,174310.000000,2.040439,0.215393,-4.106993,60.500000,-4.106993,60.500000
