step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/stand_still,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Episode_Reward/feet_clearance,Episode_Reward/undesired_contacts,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
3700,0.003269,0.001450,0.003679,-0.047164,-0.002464,-0.000192,-0.001800,-0.000457,-0.000142,-0.001483,0.000000,0.000113,-0.000400,-0.001878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.022946,0.043919,0.013794,0.003113,0.157367,0.051231,9.900804,0.000010,0.562956,94897.000000,3.102922,1.040647,-3.086368,21.770000,-3.086368,21.770000
3701,0.004398,0.002561,0.010728,-0.147749,-0.015120,-0.003235,-0.009922,-0.003038,-0.000493,-0.009922,0.000000,0.000329,-0.001976,-0.005290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.116443,0.233768,0.041077,0.062734,0.041333,0.004207,9.914022,0.000010,0.563018,187532.000000,1.436393,0.660400,-3.336973,44.119999,-3.336973,44.119999
3702,0.010239,0.006940,0.017834,-0.098858,-0.014690,-0.005090,-0.013282,-0.003070,-0.000681,-0.010696,0.000000,0.001372,-0.003761,-0.004324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.150887,0.264439,0.061605,0.112203,0.018698,0.002798,9.914916,0.000010,0.563048,187634.000000,1.386743,0.708911,-1.785614,63.590000,-1.785614,63.590000
3703,0.022924,0.014886,0.024861,-0.026796,-0.004162,-0.000859,-0.009421,-0.000920,-0.000426,-0.004729,0.000000,0.002908,-0.002258,-0.009898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.125388,0.167582,0.082601,0.123352,0.011736,-0.000171,9.915956,0.000010,0.563131,192194.000000,1.317604,0.728327,0.058733,83.160004,0.058733,83.160004
3704,0.025148,0.019722,0.031064,-0.019306,-0.002502,-0.000539,-0.008685,-0.000516,-0.000391,-0.003915,0.000000,0.004240,-0.001474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.163895,0.165910,0.102580,0.125570,0.009945,-0.001753,9.920138,0.000010,0.563387,195700.000000,1.311982,0.697293,1.101362,105.529999,1.101362,105.529999
3705,0.041874,0.026054,0.039081,-0.007222,-0.001360,-0.000332,-0.010631,-0.000179,-0.000413,-0.003367,0.000000,0.005532,-0.001608,-0.005898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.178630,0.181958,0.124044,0.126567,0.010250,-0.003182,9.928970,0.000051,0.564101,186269.000000,1.317979,0.793031,1.576330,128.190002,1.576330,128.190002
3706,0.033959,0.028476,0.043836,-0.024167,-0.003383,-0.000740,-0.013193,-0.000932,-0.000598,-0.005711,0.000000,0.006218,-0.002706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.219711,0.242117,0.142619,0.127726,0.009034,-0.004263,9.945806,0.000023,0.564714,196716.000000,1.299629,0.699268,1.651601,149.119995,1.651601,149.119995
3707,0.043230,0.035723,0.053317,-0.003750,-0.001386,-0.000293,-0.014404,-0.000214,-0.000536,-0.004518,0.000000,0.007622,-0.002058,-0.026242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.254503,0.245975,0.162720,0.128693,0.009122,-0.004777,9.953963,0.000010,0.564886,200927.000000,1.289003,0.667997,1.746543,175.660004,1.746543,175.660004
3708,0.049897,0.040963,0.059450,-0.008194,-0.001977,-0.000407,-0.018652,-0.000458,-0.000620,-0.005568,0.000000,0.008284,-0.002260,-0.034930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.277353,0.271361,0.182861,0.129211,0.009689,-0.003094,9.957353,0.000010,0.565036,195207.000000,1.283076,0.731276,2.089997,197.500000,2.089997,197.500000
3709,0.061550,0.043908,0.064676,-0.012778,-0.002203,-0.000501,-0.017257,-0.000465,-0.000621,-0.005561,0.000000,0.010079,-0.002137,-0.005509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.287397,0.293691,0.202321,0.130269,0.009362,-0.003469,9.960531,0.000010,0.565166,191406.000000,1.300103,0.754243,2.410322,212.570007,2.410322,212.570007
3710,0.065135,0.048575,0.072004,-0.011528,-0.002377,-0.000599,-0.021078,-0.000464,-0.000714,-0.006324,0.000000,0.010746,-0.002470,-0.010905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.329923,0.335414,0.220662,0.131805,0.010326,-0.002930,9.962676,0.000034,0.565246,196373.000000,1.331236,0.671152,2.661091,236.139999,2.661091,236.139999
3711,0.072550,0.056364,0.081583,-0.003750,-0.001414,-0.000421,-0.022094,-0.000213,-0.000746,-0.006144,0.000000,0.012434,-0.002687,-0.008114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.372794,0.351226,0.241170,0.132619,0.009989,-0.002989,9.964324,0.000010,0.565279,198417.000000,1.307577,0.674179,3.500264,268.790009,3.500264,268.790009
3712,0.082349,0.058467,0.086705,-0.008829,-0.002431,-0.000601,-0.024500,-0.000433,-0.000825,-0.007333,0.000000,0.012365,-0.003247,-0.028374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.395063,0.386909,0.263112,0.133301,0.011204,-0.003936,9.964735,0.000010,0.565283,192150.000000,1.307430,0.738967,3.268761,288.869995,3.268761,288.869995
3713,0.104296,0.066151,0.095501,-0.004315,-0.001839,-0.000543,-0.025971,-0.000308,-0.000867,-0.007406,0.000000,0.014152,-0.003254,-0.012488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.391548,0.403549,0.283834,0.134216,0.010596,-0.002647,9.964738,0.000015,0.565269,201225.000000,1.324516,0.629590,4.365645,315.790009,4.365645,315.790009
3714,0.112025,0.066551,0.100206,-0.009491,-0.002836,-0.000809,-0.026855,-0.000509,-0.000956,-0.008543,0.000000,0.015368,-0.003642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.411712,0.471391,0.304749,0.135193,0.011164,-0.002032,9.963998,0.000171,0.565146,196163.000000,1.313227,0.691305,4.792504,331.829987,4.792504,331.829987
3715,0.122531,0.074594,0.107785,-0.008333,-0.002658,-0.000736,-0.029102,-0.000486,-0.001007,-0.008700,0.000000,0.016589,-0.003960,-0.021664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.445641,0.467867,0.325409,0.136261,0.009463,-0.001672,9.961108,0.000010,0.565080,202483.000000,1.290511,0.651450,4.979321,356.660004,4.979321,356.660004
3716,0.143930,0.079971,0.117236,-0.003125,-0.002411,-0.000800,-0.031215,-0.000364,-0.001073,-0.009224,0.000000,0.017873,-0.004185,-0.016019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.453834,0.516273,0.348307,0.137166,0.009929,-0.002440,9.960784,0.000384,0.565126,197339.000000,1.290097,0.702485,5.685064,388.269989,5.685064,388.269989
