step,Episode_Reward/track_lin_vel_xy,Episode_Reward/track_ang_vel_z,Episode_Reward/alive,Episode_Reward/termination_penalty,Episode_Reward/flat_orientation_l2,Episode_Reward/base_height,Episode_Reward/action_rate_l1,Episode_Reward/dof_pos_limits,Episode_Reward/energy,Episode_Reward/joint_deviation_legs,Episode_Reward/joint_deviation_hip_knee,Episode_Reward/feet_air_time,Episode_Reward/feet_slide,Episode_Reward/stand_still,Episode_Reward/undesired_contacts,Episode_Reward/feet_clearance,Episode_Reward/base_linear_velocity,Episode_Reward/base_angular_velocity,Episode_Reward/joint_vel,Episode_Reward/joint_acc,Episode_Reward/feet_contact_number,Curriculum/lin_vel_cmd_levels,Curriculum/ang_vel_cmd_levels,Metrics/base_velocity/error_vel_xy,Metrics/base_velocity/error_vel_yaw,Episode_Termination/time_out,Episode_Termination/illegal_contact,Loss/value_function,Loss/surrogate,Loss/entropy,Loss/learning_rate,Policy/mean_noise_std,Perf/total_fps,Perf/collection time,Perf/learning_time,Train/mean_reward,Train/mean_episode_length,Train/mean_reward/time,Train/mean_episode_length/time
7100,0.008229,0.005868,0.002496,-0.004167,-0.000558,-0.000678,-0.002481,-0.000174,-0.000078,-0.000655,0.000000,0.000085,-0.000549,-0.002005,-0.000042,0.005258,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.019720,0.014392,0.013774,0.000112,0.097399,0.071415,9.747199,0.000010,0.622809,93791.000000,3.763300,0.429142,0.333618,13.930000,0.333618,13.930000
7101,0.030978,0.016618,0.007269,-0.031111,-0.004076,-0.000787,-0.004543,-0.000198,-0.000185,-0.001594,0.000000,0.000293,-0.002050,-0.007568,-0.000557,0.014640,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.053497,0.047710,0.037313,0.001485,0.130388,0.000350,9.755075,0.000010,0.622960,171320.000000,1.933321,0.361883,0.348690,36.500000,0.348690,36.500000
7102,0.047856,0.024357,0.011898,-0.080066,-0.010872,-0.002010,-0.012018,-0.002147,-0.000472,-0.005332,0.000000,0.000440,-0.003752,-0.016157,-0.002178,0.021447,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.104354,0.117878,0.058909,0.012044,0.186310,0.000489,9.759027,0.000010,0.623102,181176.000000,1.985662,0.184691,-0.490172,64.980003,-0.490172,64.980003
7103,0.073396,0.034500,0.016614,-0.091774,-0.014126,-0.003087,-0.015092,-0.002716,-0.000675,-0.006899,0.000000,0.000637,-0.005672,-0.032023,-0.002797,0.029505,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.126309,0.168148,0.084717,0.029907,0.164034,-0.000028,9.762156,0.000010,0.623239,172909.000000,2.044407,0.229710,-0.317912,87.279999,-0.317912,87.279999
7104,0.096379,0.043813,0.020473,-0.098957,-0.014283,-0.003499,-0.017767,-0.003085,-0.000779,-0.007843,0.000000,0.000808,-0.006464,-0.020338,-0.002668,0.036691,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.141674,0.193737,0.105967,0.050049,0.186740,0.001252,9.765972,0.000010,0.623368,175781.000000,1.955465,0.281492,0.531724,107.949997,0.531724,107.949997
7105,0.122895,0.054178,0.024284,-0.089752,-0.013873,-0.003633,-0.019199,-0.003227,-0.000811,-0.008553,0.000000,0.001140,-0.006689,-0.007730,-0.003116,0.045039,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.143858,0.204348,0.128866,0.068014,0.166288,0.000829,9.769102,0.000010,0.623506,181278.000000,1.981254,0.187870,1.627033,125.209999,1.627033,125.209999
7106,0.142546,0.061995,0.027457,-0.091276,-0.013647,-0.004087,-0.021587,-0.003230,-0.000883,-0.009014,0.000000,0.001187,-0.007594,-0.024623,-0.003437,0.051691,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.154132,0.225976,0.148661,0.078979,0.170819,0.000696,9.774035,0.000010,0.623717,182359.000000,1.968266,0.188005,1.646311,137.630005,1.646311,137.630005
7107,0.163413,0.070914,0.031273,-0.085983,-0.015360,-0.005047,-0.020975,-0.002332,-0.000965,-0.008358,0.000000,0.001370,-0.008634,-0.024662,-0.002632,0.059991,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.174468,0.247920,0.168457,0.089427,0.150236,0.000337,9.779247,0.000010,0.623915,184096.000000,1.913036,0.222885,3.319052,162.600006,3.319052,162.600006
7108,0.179242,0.076916,0.033350,-0.089742,-0.014611,-0.004355,-0.023389,-0.002122,-0.001054,-0.008300,0.000000,0.001572,-0.008909,-0.021080,-0.002770,0.065317,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.176755,0.260495,0.190328,0.097280,0.171782,-0.000107,9.783919,0.000010,0.624086,176308.000000,1.943910,0.286366,3.714498,170.580002,3.714498,170.580002
7109,0.201333,0.084223,0.036504,-0.093553,-0.014642,-0.004462,-0.025457,-0.002817,-0.001068,-0.009600,0.000000,0.001610,-0.009484,-0.022437,-0.003367,0.072021,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.177533,0.268650,0.208557,0.102854,0.187181,0.000055,9.788237,0.000010,0.624259,178035.000000,2.019826,0.188809,4.786551,189.479996,4.786551,189.479996
