JOINT_HIP_PITCH_L,JOINT_HIP_ROLL_L,JOINT_HIP_YAW_L,JOINT_KNEE_PITCH_L,JOINT_ANKLE_PITCH_L,JOINT_ANKLE_ROLL_L,JOINT_HIP_PITCH_R,JOINT_HIP_ROLL_R,JOINT_HIP_YAW_R,JOINT_KNEE_PITCH_R,JOINT_ANKLE_PITCH_R,JOINT_ANKLE_ROLL_R,joint_la1,joint_ra1
0.000000000000000000e+00,-3.665191429188090488e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.665191429188092709e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.926498527572350072e-01,-2.559337324920282764e-01,-9.779847786011199029e-02,5.941739654411150040e-01,-2.395470918005195571e-01,3.100127089558959645e-02,3.205077711026076415e-01,5.111964398202668569e-01,1.066547310581432012e-01,1.227758251498356212e-01,-3.426050762305565267e-01,-1.317287599523577456e-02,-1.191155376557814782e-01,3.611784353612666476e-01
-6.801011122856213120e-01,-2.520776223726084453e-01,-1.252447829053627004e-01,5.433932240983619932e-01,-2.698448507950552688e-01,4.077517079346703460e-02,4.224125894473368392e-01,4.911621209453679304e-01,1.385607170780774611e-01,1.056151340815209699e-02,-2.888544567007195196e-01,-1.901966768490444964e-02,-1.544951961055343326e-01,3.470568209504095170e-01
-6.650947173253388689e-01,-2.388148626008223252e-01,-1.455854170213252974e-01,5.296026132804722009e-01,-2.873412472224891046e-01,4.880532284685169808e-02,4.795724748391367309e-01,4.775090491201143816e-01,1.671927548850926371e-01,0.000000000000000000e+00,-2.785056164625416275e-01,-1.862576938264972129e-02,-1.823576442088083727e-01,3.352326444505902003e-01
-6.609764155080494197e-01,-2.289592502377714722e-01,-1.407782254609983297e-01,5.460760693511035324e-01,-2.967973573374309559e-01,5.136574196058205782e-02,5.187392097118063150e-01,4.562325799120918179e-01,1.907779529720396716e-01,0.000000000000000000e+00,-2.508888487381216170e-01,-1.749486181784098288e-02,-1.504465587302034890e-01,3.187543844161158657e-01
-6.558888859413333217e-01,-2.282203144339289003e-01,-1.227359590655608956e-01,5.809677538978800238e-01,-3.000754204533451208e-01,5.218721032194225534e-02,5.523711600819118939e-01,4.360516881354852825e-01,2.013122692172072681e-01,0.000000000000000000e+00,-2.127983775652287635e-01,-1.665121968717937773e-02,-1.474102797257958175e-01,3.334774939075531019e-01
-6.711549005350205821e-01,-2.354039669544574498e-01,-5.814936884032188835e-02,6.224772954081398968e-01,-2.661021827533096018e-01,4.992078879082915283e-02,5.493130803989236810e-01,4.143230664940468766e-01,1.958952106743170885e-01,5.531600663890534619e-02,-1.842781399570570799e-01,-1.405584299307472036e-02,-1.628619220074965235e-01,3.540179615750074227e-01
-6.696241302625535186e-01,-2.452837520712169983e-01,-3.690117139074975544e-02,6.568082122955871682e-01,-2.299660537528482873e-01,4.829402565413427190e-02,5.234498459443697183e-01,4.043985179302923005e-01,1.903570953601226301e-01,1.516690137132935545e-01,-1.158165330139645233e-01,-7.665691401781693504e-03,-1.623176023495217224e-01,3.732098274997437959e-01
-6.676823844687284071e-01,-2.680895218141404190e-01,-5.180677905338518414e-03,6.832053851202889438e-01,-1.773033261641565328e-01,2.675201989362177568e-02,4.855788399944926947e-01,3.924445402204071454e-01,1.756433605321042479e-01,2.638217370066783252e-01,-7.333689810758869942e-02,-5.550667989180884353e-03,-1.532351438582472969e-01,4.095674946884818035e-01
-6.459535360069961207e-01,-2.913999567079384456e-01,1.476363974423894852e-02,7.078940101371243854e-01,-1.940465605258738513e-01,2.743272688874102971e-02,4.290166316786300782e-01,3.887477243460371046e-01,1.622666898619115061e-01,3.979231836276078127e-01,1.597304939470509111e-03,3.920260069366314840e-03,-1.609032868672523320e-01,4.434470481840714906e-01
-6.226901616982687404e-01,-3.181465375477525726e-01,5.006512834333516626e-02,7.193284927161212039e-01,-2.143842120848279964e-01,2.518079672916154893e-02,3.567965621233510354e-01,3.740246930722650465e-01,1.534064144668879637e-01,5.466079155469678597e-01,6.389821681786030105e-02,1.518328419778276067e-02,-1.487075353872614469e-01,4.773963729742789486e-01
-5.821717409784052943e-01,-3.417229583751889010e-01,5.696696325170536035e-02,7.209213503626856756e-01,-2.407757394216678837e-01,2.701480900482959580e-02,2.852783814009218766e-01,3.721521181383315446e-01,1.502551886785146451e-01,6.937907827471605504e-01,8.993655951567475215e-02,2.392621290083327135e-02,-9.160009197976810846e-02,5.109559365249534135e-01
